STEPS,U-CORRELATEDQ
136,0.0199999441040789
223,0.0159998912947523
232,0.01279992913287
357,0.0102398507846296
372,0.00819190643354051
399,0.00655353875643616
414,0.00524285278082259
506,0.00419425593905554
564,0.00335540576589843
733,0.00268426836354252
739,0.00214745516806258
776,0.00171798490888198
803,0.00137441020669304
986,0.00109950075829546
1037,0.000879619084947381
1136,0.000703700951905528
1259,0.000562963139553396
1299,0.00045039038463468
1641,0.00395829968067185
1660,0.00316692984843847
1690,0.00253376757778556
1773,0.00202714381881963
1777,0.00162190283366292
1841,0.00129763087925006
1982,0.00103815271587315
2031,0.000830620038280383
2071,0.00131145919283748
2260,0.00104920726513702
2536,0.000839359879676205
2802,0.000671506770914432
2813,0.000537358564669632
2892,0.000429985309468361
2983,0.000344068506800022
3039,0.000275332693214558
3097,0.000220330647845657
3101,0.000176327235722584
3223,0.000141096303735488
3406,0.000112900443455799
3415,9.03587921056159E-05
3596,7.23048624173828E-05
3739,5.78628143746984E-05
3806,0.00546949129035867
3981,0.00437707302803969
4054,0.00350342925961589
4130,0.00688580237734615
4213,0.00551158917230044
4241,0.0044120462660352
4293,0.00353177989691622
4367,0.00282710257645424
4541,0.00226277135086472
4899,0.00181069679909041
4969,0.00144970883949624
5070,0.00116066258435932
5127,0.00092934252551613
5232,0.000744084162003444
5421,0.000595697293687025
5539,0.000476989402830141
5572,0.000382008608032613
5681,1.17322337209158
5737,0.939621948408775
5864,0.752456885927845
5866,0.602737750983073
5875,0.482803255030027
5900,1.39959740423392
5935,1.1210662952575
5951,0.89800915118495
6381,0.932077136128571
6453,0.746693449529428
6525,0.768862788213321
6917,0.0718816888553686
7081,0.0575883362187923
7093,0.0461558037783067
7107,0.0369929511492426
7894,0.366229590756387
7960,0.293619127287267
8212,0.758889772288365
8322,0.095641284932789
8443,0.0766873941981174
8456,0.0615110317418566
8622,0.0493191058311275
8647,0.0395621138181017
8684,0.0317348950277783
8735,0.0254559226596509
8840,0.0204170286177909
8849,0.0163808225894932
9023,0.0131367885964675
9056,0.0105403816387089
9084,0.00845743770538654
9326,0.40189185016628
9350,0.650394682098606
9356,0.52200177389769
9369,0.41894810246139
9536,0.336095390090512
9615,0.269725847631424
9668,0.21649046928837
9765,0.173746127151847
9803,0.139474883437209
9946,0.111931735209443
10049,0.0898473852619563
10060,0.0721456797101574
10228,0.319653397887922
10503,1.19619280089286
10535,0.960783672517354
10598,0.771645639250663
10702,0.619689097625811
10736,0.497808094838982
11043,0.399552243900265
11098,0.172677039283371
11104,0.13877109260171
11192,0.111492691242621
11219,0.089601114567925
11451,0.071959284316975
11454,0.0578471601317538
11517,0.0464931038884018
11625,0.0373636666218005
11633,0.0300400629037778
11666,0.0241500021618677
11682,0.0194165234276884
11739,0.0156087838045966
11766,0.0125497038662559
11773,0.0100911014685039
11848,0.00811225521445458
11902,0.00652235764661846
11965,1.14917946586322
12081,0.923840261427378
12096,0.743033202726975
12103,0.597637574000542
12342,0.480286828899571
12351,0.386386659162916
12549,0.307359076545284
12555,0.247316831877528
12608,0.198969550555971
12681,0.160069012440799
12686,0.128815788886241
12700,0.103661632401964
12717,0.0834195053745379
12807,0.929221396763385
12814,0.747873858033026
12889,0.601764322605556
12908,0.484338077864859
13201,0.389414478506726
13407,0.558174296538017
13634,0.285012097942872
13736,0.229481106918925
13758,0.184848933128599
13791,0.738847552610377
13829,0.409961242995381
13831,0.33028504528489
13845,0.266081236602361
13962,0.214268817339057
13965,0.172647897013913
14008,0.13908875699725
14069,0.11204911506276
14165,0.578508863978922
14329,0.465911022655348
14363,0.375500142456302
14391,0.302652048469824
14513,0.243844222850299
14638,0.196484771974168
14726,0.158369449062519
14765,0.127687313904303
14830,0.10294178400636
14832,0.0830208470163232
14899,0.0669356756810924
14914,0.0539833598645547
15032,0.0435179158705417
15089,0.0350953687203486
15110,0.0283092829105129
15260,0.0228224553806236
15278,0.0184131416907825
15423,0.0148473107042228
15452,0.0119803293524221
15492,0.00966676944957356
15650,0.00779602691992842
15727,2.21666495542396
15871,1.78825859956027
15902,1.44365552295901
15918,1.16558281025247
16038,0.940619441059585
16213,0.758973221544949
16282,0.612841452601451
16321,0.494957384734697
16328,0.39982977783535
16403,0.32287987111755
16432,0.260821103152807
16508,0.210648405080597
16552,0.170169102459049
16669,0.137425493627799
16698,0.111046328787818
16721,0.0897364803159491
16768,0.0725092270628309
16786,0.058601001801037
17120,0.0472854725160694
17162,0.0382269094778245
17283,0.0308926471892121
17315,0.0249807043946184
17330,0.0202027067184112
17369,0.0163368430462398
17378,0.0132134229814724
17680,1.26581393655385
17749,1.02387240134421
17809,0.828284663695566
17941,0.583836066596312
18032,0.472340955144965
18084,0.382262233434592
18237,0.30891041742359
18296,0.25005420604554
18682,0.201817721070068
18737,0.163267593582148
18752,0.132278083294516
18787,0.102917209811096
18798,0.0833900477235403
18800,0.0675723123148551
18823,0.0545899138078809
18880,0.04422279660416
18905,0.0358336643448496
19014,0.0290230409115146
19037,0.0235217595471653
19086,0.0190609851065631
19248,0.0154371257802417
19298,0.0125129872287459
19631,0.0460696720957863
19637,0.0373719639108216
19659,0.0303137260514212
19762,0.0691593915501407
19811,0.0560982326172557
19903,0.0454951242454626
20074,0.0035456124330473
20103,0.00864565244198445
20125,0.00701730038846549
20135,0.0056962252960524
20150,0.00440456164839276
20259,0.00357333948408112
20324,0.0110641810499992
20416,0.00059037959772823
20449,0.00711915169104671
20464,0.00578135847003836
20537,0.00550714742147917
20631,0.0772968093450253
20636,0.0627917127834223
20700,0.0509902680690253
20789,0.0414041474241529
20808,0.033639146801562
20831,0.0273304682327584
20903,0.397519674557369
21026,0.322809765612703
21045,0.262359019502636
21108,0.213175060457086
21602,0.265488792284632
21645,0.215920533755636
21724,0.175576913761105
21727,0.142858705868218
21733,0.116235680243804
21791,0.47332454902077
21834,0.384818216346154
21847,0.313139511631405
21865,0.254612523880368
21870,0.207207249560842
22031,0.168456270821078
22215,0.151622955483713
22389,0.123318536249357
22446,0.100402868345473
22632,0.0816811912600137
22652,0.0665440870955258
22689,0.0542075778286097
22762,0.0438667655717175
22774,0.0356431175432377
22895,0.0799868637200625
